text,mood
Feeling kind of angry but also a bit yelling.,angry
Feeling kind of amazing but also a bit awesome.,happy
My day has been nervous; everything feels tense.,anxious
"This is a very hesitant day, truly nervous.",anxious
My day has been unhappy; everything feels tired.,sad
"This is a very blue day, truly depressed.",sad
Feeling kind of panicking but also a bit uneasy.,anxious
My day has been great; everything feels amazing.,happy
Feeling kind of unhappy but also a bit blue.,sad
Feeling kind of usual but also a bit routine.,neutral
"Just another day, kind of panicking, maybe a little tense.",anxious
"Just another day, kind of worried, maybe a little tense.",anxious
Feeling kind of typical but also a bit usual.,neutral
I feel smiling and amazing today.,happy
Feeling kind of okay but also a bit day.,neutral
"This is a very crying day, truly miserable.",sad
"This is a very crying day, truly gloomy.",sad
"Just another day, kind of happy, maybe a little amazing.",happy
"This is a very yay day, truly awesome.",happy
"Just another day, kind of amazing, maybe a little awesome.",happy
My day has been down; everything feels depressed.,sad
Feeling kind of upset but also a bit yelling.,angry
Feeling kind of gloomy but also a bit blue.,sad
I feel furious and rage today.,angry
My day has been down; everything feels tired.,sad
I feel furious and hate today.,angry
"Just another day, kind of upset, maybe a little furious.",angry
Feeling kind of annoyed but also a bit hate.,angry
I feel grateful and great today.,happy
My day has been nothing; everything feels typical.,neutral
Feeling kind of unhappy but also a bit blue.,sad
I feel worried and nervous today.,anxious
I feel amazing and great today.,happy
"This is a very grateful day, truly wonderful.",happy
My day has been uneasy; everything feels scared.,anxious
"Just another day, kind of hesitant, maybe a little nervous.",anxious
Feeling kind of great but also a bit smiling.,happy
"Just another day, kind of awesome, maybe a little grateful.",happy
I feel tense and scared today.,anxious
I feel upset and frustrated today.,angry
I feel panicking and tense today.,anxious
My day has been worried; everything feels tense.,anxious
"This is a very happy day, truly awesome.",happy
I feel crying and down today.,sad
"This is a very average day, truly alright.",neutral
Feeling kind of mad but also a bit angry.,angry
Feeling kind of depressed but also a bit hopeless.,sad
"This is a very unhappy day, truly sad.",sad
My day has been awesome; everything feels grateful.,happy
Feeling kind of angry but also a bit mad.,angry
My day has been excited; everything feels smiling.,happy
"Just another day, kind of joyful, maybe a little great.",happy
"Just another day, kind of upset, maybe a little furious.",angry
My day has been average; everything feels okay.,neutral
I feel rage and angry today.,angry
I feel fear and hesitant today.,anxious
I feel uneasy and worried today.,anxious
I feel yelling and mad today.,angry
Feeling kind of gloomy but also a bit hopeless.,sad
Feeling kind of hesitant but also a bit doubtful.,anxious
I feel doubtful and fear today.,anxious
"Just another day, kind of wonderful, maybe a little grateful.",happy
Feeling kind of tense but also a bit fear.,anxious
I feel fear and hesitant today.,anxious
Feeling kind of hate but also a bit frustrated.,angry
I feel mad and rage today.,angry
"Just another day, kind of joyful, maybe a little yay.",happy
My day has been awesome; everything feels excited.,happy
My day has been yay; everything feels wonderful.,happy
Feeling kind of furious but also a bit hate.,angry
My day has been anxious; everything feels panicking.,anxious
My day has been frustrated; everything feels furious.,angry
"Just another day, kind of average, maybe a little normal.",neutral
My day has been unhappy; everything feels miserable.,sad
My day has been furious; everything feels annoyed.,angry
My day has been tired; everything feels hopeless.,sad
My day has been nothing; everything feels okay.,neutral
Feeling kind of angry but also a bit mad.,angry
I feel frustrated and yelling today.,angry
I feel depressed and tired today.,sad
My day has been sad; everything feels unhappy.,sad
"Just another day, kind of tired, maybe a little crying.",sad
Feeling kind of mad but also a bit frustrated.,angry
I feel yelling and furious today.,angry
I feel depressed and sad today.,sad
"Just another day, kind of rage, maybe a little hate.",angry
Feeling kind of day but also a bit routine.,neutral
Feeling kind of hopeless but also a bit unhappy.,sad
My day has been worried; everything feels panicking.,anxious
I feel doubtful and panicking today.,anxious
I feel tired and sad today.,sad
"This is a very gloomy day, truly down.",sad
I feel annoyed and frustrated today.,angry
"This is a very great day, truly smiling.",happy
"This is a very tired day, truly hopeless.",sad
I feel nothing and typical today.,neutral
I feel anxious and fear today.,anxious
My day has been worried; everything feels scared.,anxious
"Just another day, kind of hesitant, maybe a little fear.",anxious
I feel furious and hate today.,angry
Feeling kind of mad but also a bit rage.,angry
"This is a very smiling day, truly joyful.",happy
My day has been hesitant; everything feels fear.,anxious
Feeling kind of smiling but also a bit amazing.,happy
I feel miserable and depressed today.,sad
My day has been fine; everything feels nothing.,neutral
"This is a very miserable day, truly crying.",sad
Feeling kind of unhappy but also a bit depressed.,sad
I feel depressed and crying today.,sad
My day has been blue; everything feels crying.,sad
Feeling kind of day but also a bit typical.,neutral
"Just another day, kind of blue, maybe a little unhappy.",sad
My day has been panicking; everything feels hesitant.,anxious
I feel awesome and wonderful today.,happy
I feel rage and yelling today.,angry
I feel awesome and amazing today.,happy
"Just another day, kind of yay, maybe a little wonderful.",happy
I feel hesitant and doubtful today.,anxious
Feeling kind of hesitant but also a bit tense.,anxious
"This is a very day day, truly nothing.",neutral
Feeling kind of great but also a bit joyful.,happy
I feel wonderful and excited today.,happy
My day has been blue; everything feels crying.,sad
Feeling kind of alright but also a bit normal.,neutral
"Just another day, kind of annoyed, maybe a little hate.",angry
Feeling kind of yelling but also a bit angry.,angry
My day has been awesome; everything feels joyful.,happy
My day has been panicking; everything feels hesitant.,anxious
My day has been miserable; everything feels unhappy.,sad
"Just another day, kind of miserable, maybe a little gloomy.",sad
Feeling kind of crying but also a bit unhappy.,sad
"This is a very routine day, truly typical.",neutral
My day has been fine; everything feels routine.,neutral
Feeling kind of angry but also a bit frustrated.,angry
"Just another day, kind of down, maybe a little miserable.",sad
"This is a very down day, truly depressed.",sad
My day has been amazing; everything feels joyful.,happy
Feeling kind of nothing but also a bit okay.,neutral
"This is a very normal day, truly routine.",neutral
"Just another day, kind of depressed, maybe a little crying.",sad
"This is a very smiling day, truly awesome.",happy
"Just another day, kind of hesitant, maybe a little panicking.",anxious
Feeling kind of hopeless but also a bit down.,sad
My day has been tense; everything feels scared.,anxious
"Just another day, kind of uneasy, maybe a little panicking.",anxious
"This is a very nothing day, truly routine.",neutral
Feeling kind of crying but also a bit depressed.,sad
My day has been great; everything feels awesome.,happy
Feeling kind of wonderful but also a bit joyful.,happy
"Just another day, kind of excited, maybe a little amazing.",happy
I feel normal and routine today.,neutral
I feel blue and miserable today.,sad
My day has been anxious; everything feels fear.,anxious
I feel irritated and hate today.,angry
Feeling kind of irritated but also a bit angry.,angry
"This is a very awesome day, truly excited.",happy
"This is a very amazing day, truly great.",happy
I feel uneasy and anxious today.,anxious
"This is a very amazing day, truly grateful.",happy
"Just another day, kind of alright, maybe a little nothing.",neutral
Feeling kind of amazing but also a bit grateful.,happy
"Just another day, kind of happy, maybe a little grateful.",happy
I feel day and fine today.,neutral
I feel hesitant and doubtful today.,anxious
"This is a very alright day, truly average.",neutral
My day has been hate; everything feels angry.,angry
"This is a very irritated day, truly hate.",angry
I feel wonderful and awesome today.,happy
My day has been nothing; everything feels alright.,neutral
"Just another day, kind of okay, maybe a little routine.",neutral
Feeling kind of smiling but also a bit awesome.,happy
Feeling kind of awesome but also a bit joyful.,happy
"This is a very unhappy day, truly miserable.",sad
Feeling kind of awesome but also a bit wonderful.,happy
"This is a very blue day, truly crying.",sad
I feel unhappy and blue today.,sad
"This is a very irritated day, truly angry.",angry
My day has been awesome; everything feels amazing.,happy
Feeling kind of doubtful but also a bit uneasy.,anxious
Feeling kind of grateful but also a bit amazing.,happy
I feel awesome and amazing today.,happy
"Just another day, kind of hate, maybe a little yelling.",angry
"Just another day, kind of scared, maybe a little nervous.",anxious
Feeling kind of scared but also a bit doubtful.,anxious
"Just another day, kind of smiling, maybe a little joyful.",happy
Feeling kind of normal but also a bit nothing.,neutral
Feeling kind of furious but also a bit yelling.,angry
My day has been annoyed; everything feels rage.,angry
Feeling kind of nervous but also a bit uneasy.,anxious
My day has been anxious; everything feels scared.,anxious
I feel panicking and anxious today.,anxious
"This is a very scared day, truly doubtful.",anxious
I feel excited and great today.,happy
Feeling kind of unhappy but also a bit down.,sad
My day has been hate; everything feels angry.,angry
Feeling kind of blue but also a bit miserable.,sad
My day has been worried; everything feels nervous.,anxious
Feeling kind of hate but also a bit frustrated.,angry
"This is a very unhappy day, truly sad.",sad
My day has been doubtful; everything feels fear.,anxious
"Just another day, kind of amazing, maybe a little yay.",happy
"Just another day, kind of crying, maybe a little gloomy.",sad
I feel unhappy and depressed today.,sad
I feel nervous and uneasy today.,anxious
My day has been frustrated; everything feels furious.,angry
"This is a very usual day, truly alright.",neutral
"This is a very miserable day, truly hopeless.",sad
"This is a very grateful day, truly excited.",happy
My day has been anxious; everything feels scared.,anxious
My day has been typical; everything feels day.,neutral
I feel crying and unhappy today.,sad
My day has been hate; everything feels rage.,angry
"This is a very fear day, truly worried.",anxious
"Just another day, kind of furious, maybe a little rage.",angry
My day has been typical; everything feels normal.,neutral
"Just another day, kind of normal, maybe a little alright.",neutral
My day has been okay; everything feels fine.,neutral
"This is a very gloomy day, truly depressed.",sad
My day has been irritated; everything feels frustrated.,angry
"This is a very furious day, truly annoyed.",angry
Feeling kind of usual but also a bit normal.,neutral
My day has been nothing; everything feels fine.,neutral
"This is a very crying day, truly depressed.",sad
My day has been alright; everything feels typical.,neutral
I feel happy and joyful today.,happy
My day has been usual; everything feels average.,neutral
"Just another day, kind of hesitant, maybe a little anxious.",anxious
"Just another day, kind of usual, maybe a little alright.",neutral
"Just another day, kind of tired, maybe a little gloomy.",sad
"Just another day, kind of happy, maybe a little excited.",happy
"This is a very uneasy day, truly hesitant.",anxious
Feeling kind of yelling but also a bit mad.,angry
"This is a very frustrated day, truly hate.",angry
I feel upset and yelling today.,angry
I feel irritated and rage today.,angry
"This is a very rage day, truly irritated.",angry
"Just another day, kind of happy, maybe a little amazing.",happy
"This is a very routine day, truly average.",neutral
"This is a very yelling day, truly frustrated.",angry
"Just another day, kind of blue, maybe a little hopeless.",sad
I feel panicking and uneasy today.,anxious
"Just another day, kind of smiling, maybe a little wonderful.",happy
I feel down and miserable today.,sad
My day has been amazing; everything feels great.,happy
I feel panicking and doubtful today.,anxious
Feeling kind of smiling but also a bit excited.,happy
I feel hate and frustrated today.,angry
"This is a very anxious day, truly doubtful.",anxious
I feel upset and annoyed today.,angry
My day has been doubtful; everything feels uneasy.,anxious
"This is a very yelling day, truly furious.",angry
Feeling kind of smiling but also a bit awesome.,happy
"This is a very typical day, truly normal.",neutral
My day has been nothing; everything feels routine.,neutral
"This is a very happy day, truly yay.",happy
"Just another day, kind of rage, maybe a little upset.",angry
"This is a very crying day, truly hopeless.",sad
"This is a very yelling day, truly frustrated.",angry
My day has been hesitant; everything feels panicking.,anxious
My day has been upset; everything feels yelling.,angry
"Just another day, kind of hesitant, maybe a little panicking.",anxious
I feel awesome and yay today.,happy
I feel hesitant and panicking today.,anxious
My day has been day; everything feels usual.,neutral
My day has been average; everything feels okay.,neutral
My day has been nervous; everything feels doubtful.,anxious
I feel nervous and tense today.,anxious
I feel fine and average today.,neutral
"This is a very scared day, truly fear.",anxious
My day has been tense; everything feels fear.,anxious
"This is a very day day, truly okay.",neutral
Feeling kind of average but also a bit nothing.,neutral
Feeling kind of doubtful but also a bit fear.,anxious
Feeling kind of blue but also a bit hopeless.,sad
My day has been typical; everything feels usual.,neutral
Feeling kind of tense but also a bit hesitant.,anxious
Feeling kind of usual but also a bit average.,neutral
Feeling kind of irritated but also a bit rage.,angry
Feeling kind of scared but also a bit doubtful.,anxious
"Just another day, kind of furious, maybe a little upset.",angry
Feeling kind of scared but also a bit nervous.,anxious
Feeling kind of amazing but also a bit joyful.,happy
"This is a very panicking day, truly uneasy.",anxious
My day has been hopeless; everything feels gloomy.,sad
My day has been mad; everything feels furious.,angry
I feel average and alright today.,neutral
I feel average and alright today.,neutral
"Just another day, kind of smiling, maybe a little awesome.",happy
My day has been excited; everything feels happy.,happy
"Just another day, kind of tired, maybe a little blue.",sad
Feeling kind of gloomy but also a bit miserable.,sad
My day has been joyful; everything feels grateful.,happy
"This is a very excited day, truly smiling.",happy
"This is a very smiling day, truly great.",happy
Feeling kind of angry but also a bit yelling.,angry
Feeling kind of alright but also a bit fine.,neutral
My day has been rage; everything feels upset.,angry
"Just another day, kind of nervous, maybe a little doubtful.",anxious
Feeling kind of irritated but also a bit furious.,angry
"This is a very blue day, truly gloomy.",sad
My day has been awesome; everything feels amazing.,happy
"Just another day, kind of depressed, maybe a little tired.",sad
"Just another day, kind of typical, maybe a little fine.",neutral
"Just another day, kind of excited, maybe a little yay.",happy
Feeling kind of irritated but also a bit angry.,angry
Feeling kind of tense but also a bit uneasy.,anxious
Feeling kind of annoyed but also a bit angry.,angry
I feel irritated and angry today.,angry
"Just another day, kind of panicking, maybe a little nervous.",anxious
Feeling kind of usual but also a bit fine.,neutral
"This is a very yelling day, truly irritated.",angry
"Just another day, kind of blue, maybe a little depressed.",sad
My day has been typical; everything feels routine.,neutral
"This is a very doubtful day, truly tense.",anxious
"Just another day, kind of fine, maybe a little nothing.",neutral
My day has been typical; everything feels fine.,neutral
My day has been happy; everything feels wonderful.,happy
"This is a very crying day, truly hopeless.",sad
"Just another day, kind of miserable, maybe a little hopeless.",sad
I feel grateful and great today.,happy
"Just another day, kind of day, maybe a little okay.",neutral
"Just another day, kind of hopeless, maybe a little tired.",sad
"Just another day, kind of okay, maybe a little nothing.",neutral
Feeling kind of angry but also a bit hate.,angry
I feel grateful and joyful today.,happy
My day has been scared; everything feels worried.,anxious
I feel joyful and great today.,happy
"This is a very hate day, truly mad.",angry
"Just another day, kind of scared, maybe a little fear.",anxious
My day has been fear; everything feels worried.,anxious
"This is a very miserable day, truly unhappy.",sad
"This is a very routine day, truly nothing.",neutral
Feeling kind of sad but also a bit crying.,sad
My day has been doubtful; everything feels fear.,anxious
"Just another day, kind of tense, maybe a little hesitant.",anxious
"This is a very mad day, truly annoyed.",angry
My day has been happy; everything feels smiling.,happy
I feel grateful and yay today.,happy
"Just another day, kind of yay, maybe a little happy.",happy
I feel okay and average today.,neutral
My day has been uneasy; everything feels tense.,anxious
My day has been sad; everything feels depressed.,sad
My day has been irritated; everything feels frustrated.,angry
Feeling kind of typical but also a bit average.,neutral
"Just another day, kind of hopeless, maybe a little down.",sad
My day has been annoyed; everything feels angry.,angry
My day has been normal; everything feels routine.,neutral
"Just another day, kind of anxious, maybe a little scared.",anxious
"Just another day, kind of typical, maybe a little routine.",neutral
"This is a very gloomy day, truly tired.",sad
"This is a very day day, truly average.",neutral
I feel mad and rage today.,angry
My day has been routine; everything feels alright.,neutral
"This is a very normal day, truly routine.",neutral
I feel irritated and frustrated today.,angry
My day has been scared; everything feels worried.,anxious
"Just another day, kind of sad, maybe a little gloomy.",sad
I feel alright and okay today.,neutral
"This is a very crying day, truly hopeless.",sad
Feeling kind of tense but also a bit scared.,anxious
I feel grateful and yay today.,happy
"Just another day, kind of tense, maybe a little hesitant.",anxious
Feeling kind of hopeless but also a bit miserable.,sad
Feeling kind of uneasy but also a bit doubtful.,anxious
My day has been annoyed; everything feels frustrated.,angry
"Just another day, kind of uneasy, maybe a little worried.",anxious
Feeling kind of irritated but also a bit frustrated.,angry
"This is a very anxious day, truly tense.",anxious
My day has been amazing; everything feels wonderful.,happy
"This is a very routine day, truly usual.",neutral
"Just another day, kind of miserable, maybe a little down.",sad
My day has been average; everything feels day.,neutral
"Just another day, kind of annoyed, maybe a little rage.",angry
"This is a very nervous day, truly scared.",anxious
"This is a very hopeless day, truly blue.",sad
I feel okay and nothing today.,neutral
"Just another day, kind of happy, maybe a little yay.",happy
"This is a very down day, truly unhappy.",sad
"Just another day, kind of grateful, maybe a little wonderful.",happy
"Just another day, kind of angry, maybe a little rage.",angry
My day has been happy; everything feels wonderful.,happy
My day has been anxious; everything feels hesitant.,anxious
I feel upset and annoyed today.,angry
I feel routine and normal today.,neutral
"This is a very wonderful day, truly excited.",happy
Feeling kind of crying but also a bit hopeless.,sad
I feel annoyed and hate today.,angry
My day has been hate; everything feels rage.,angry
I feel down and gloomy today.,sad
"Just another day, kind of joyful, maybe a little smiling.",happy
I feel doubtful and uneasy today.,anxious
"Just another day, kind of excited, maybe a little joyful.",happy
My day has been scared; everything feels worried.,anxious
My day has been grateful; everything feels yay.,happy
I feel panicking and anxious today.,anxious
"This is a very upset day, truly angry.",angry
My day has been angry; everything feels irritated.,angry
Feeling kind of tired but also a bit unhappy.,sad
My day has been crying; everything feels down.,sad
"Just another day, kind of doubtful, maybe a little scared.",anxious
Feeling kind of unhappy but also a bit hopeless.,sad
"This is a very joyful day, truly smiling.",happy
Feeling kind of awesome but also a bit smiling.,happy
"Just another day, kind of amazing, maybe a little great.",happy
"Just another day, kind of miserable, maybe a little hopeless.",sad
I feel nervous and fear today.,anxious
I feel usual and average today.,neutral
"Just another day, kind of amazing, maybe a little excited.",happy
Feeling kind of tired but also a bit miserable.,sad
Feeling kind of joyful but also a bit happy.,happy
I feel scared and panicking today.,anxious
"Just another day, kind of unhappy, maybe a little depressed.",sad
My day has been doubtful; everything feels hesitant.,anxious
I feel worried and anxious today.,anxious
My day has been upset; everything feels furious.,angry
I feel typical and routine today.,neutral
I feel hate and yelling today.,angry
"This is a very average day, truly nothing.",neutral
Feeling kind of nervous but also a bit hesitant.,anxious
"This is a very annoyed day, truly rage.",angry
